,Extraction_date,Marketplace,Reference,Status,Name,Address,Size,Size_prefix,Nbr_of_rooms,Nbr_of_baths,Price,Description,URL
535,2018-07-16T13:39:34,Tunisie-annonce TN,2613854,L,Villa style americain,"Tunisie,Ben arous,Ezzahra,Ezzahra",500,m²,,,1200.0,villa independante style americain 200 m2 couvert deux étages + terrasse salon salle à manger 4 cc 2 sdb cuisine chambre a la terrasse chauffage centrale garage pour voiture jardin  à 100 m de la mer dans zone résidentielle prix discutable si à long terme à usage d habitation seulement      merci,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2613854
537,2018-07-16T13:39:33,Tunisie-annonce TN,2810280,L,Appt usage bureau,"Tunisie,Ben arous,Megrine,Megrine Riadh",150,m²,,,700.0,à louer appartement 5 pièces cuisine et deux toilettes à usage de bureau sur gp1 megrine riadh au 1e étage,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2810280
548,2018-07-16T13:38:59,Tunisie-annonce TN,2831196,L,Grand local 510 m2,"Tunisie,Nabeul,Nabeul,Nabeul",510,m²,,,3500.0,"a louer un grand local au rez de chaussée d'une superficie de 510 m2 bien aménagé (eau,électricité, gaz,parking, 3 entrées principales) situé sur une avenue principale à nabeul ( avenue mongi bali ) à usage commercial ( grand surface, magasin de vente en gros, quincaillerie.. ) ou usine. disponible à compter du septembre 2018.  pour plus d'informations veuillez contacter le : 24 208 908",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831196
557,2018-07-16T13:38:34,Tunisie-annonce TN,2823833,L,Duplex a 850 d par mois  220m2 voir  annonce,"Tunisie,Ariana,Raoued,Ariana Essoughra",220,m²,,,850.0,a louer - duplex a  ariana  essogra - a 5mn du ecole espri - et  - tekhnopole el-ghazala  -  duplex -  salon + s.m + 5 pieces - s.eau + douche  +  s.db-cuisine equipee - ch . c - 2 climat - garage (( vue dégagé )) pour visite sur rdv prés station agil cité olympique manzeh /tél  : 53999911,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823833
564,2018-07-16T13:38:18,Tunisie-annonce TN,2818126,L,Studio meublé pieds dans l'eau,"Tunisie,Bizerte,Bizerte Nord,Cite De La Municipalite",,m²,,,525.0,studio  meublé pour vacanciers.  s+1.kitchenette.  douche. un coin vert avec séchoir  entrée séparée  prés de toutes commodités  dispo dès juillet,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2818126
582,2018-07-16T13:37:30,Tunisie-annonce TN,2811327,L,Maison a loué,"Tunisie,Manouba,Oued Ellil,Oued Ellil",80,m²,,,300.0,idéal pour jeune couple ou des étudiants a loué petite maison deux chambre cuisine et toilette avec entré  conteur d’électricité indépendant.    cette maison situé rue taib ilmoutenebi oued ellil coté lycée taher il7aded.,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2811327
600,2018-07-16T13:36:51,Tunisie-annonce TN,2357942,L,Superbe s plus 3 avec jardin wb143,"Tunisie,Nabeul,Nabeul,Cite El Mahrsi 1",200,m²,,,500.0,"pieds dans l eau   500 dt par nuit pour la saison estivale  climatisation , grand jardin",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2357942
613,2018-07-16T13:36:17,Tunisie-annonce TN,2821785,L,Studio meublé cite boussouffara,"Tunisie,Ben arous,Hammam Lif,Cite Boussouffara",34,m²,,,270.0,"studio meublé proche de lagare taher sfar composé d'un salon, chambres à coucher,kitchenette ,salle deau avec une place de parking prix 270dt fix     visite payante : 20 dt+(2visite gratuit)   +commission 130dt fix svp svp que les sérieux curieux courtier sabstenir",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2821785
617,2018-07-16T13:36:05,Tunisie-annonce TN,2776566,L,Villa badira,"Tunisie,Nabeul,Hammamet,Hammamet",500,m²,,,2500.0,à louer à l'année une belle villa moderne érigée sur deux niveaux situé à hammamet nord dans une citée résidentielle et près d'hôtels badira et sultan   la villa se compose un grand salon lumineux bien airé; deux suites parentale avec salle de douche et dressing; deux chambres à couchées; une salle d'eau et une cuisine moderne et bien équipé   al'extérieur on trouve une cuisine et un garage de voiture   prix: 2500 dt par mois,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2776566
619,2018-07-16T13:36:02,Tunisie-annonce TN,2820692,L,Studio meublé hammam lif,"Tunisie,Ben arous,Hammam Lif,Hammam Lif",34,m²,,,270.0,"studio meublé idéal pour homme fonctionnaire proche de lagare taher sfar composé d'un salon, chambres à coucher,kitchenette ,salle deau avec une place de parking prix 270dt fix    visite payante : 20 dt+(2visite gratuit)   +commission 130dt fix svp svp que les sérieux curieux courtier sabstenir",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820692
622,2018-07-16T13:35:56,Tunisie-annonce TN,2831415,L,Petite villa,"Tunisie,Ben arous,Nouvelle Medina,Nouvelle Medina",80,m²,,,450.0,"a louer un étage de villa jamais habitée s+2 ,près de tous les commodités contacté moi directement le propriétaire sur 99719255 ou 90369404",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831415
630,2018-07-16T13:35:40,Tunisie-annonce TN,2255074,L,Local bien situé toutes activités,"Tunisie,Sousse,Hammam Sousse,Hammam Sousse Gharbi",180,m²,,,4000.0,"donnant sur la grande voie essalem ,proche de la steg à h-sousse ,local   commercial d'une superficie de 180 m² couverts (open space) mis à la   location ,local convient pour toutes activités .prix demandé 4000dt/mois   et bas de porte à négocier .s'adresser à l'immobilière du lac à h-sousse  soit pour infos où visite aux téls  suivants 00 216 73 370 942 où 00 216 99 904 113 et 00 216 52 942 113.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2255074
634,2018-07-16T13:35:31,Tunisie-annonce TN,2823959,L,Grand duplex,"Tunisie,Tunis,El Menzah,El Menzah 9",250,m²,,,1800.0,zservices met à votre disposition un duplex très haurt standingsitué à menzah 9 dans un cartier calme et bien gardé près de toutes commodités composé de:    salon    5 chambres    cuisine équipée    douche    salle d'eau    salle de bain    un grand jardin    garage    abri voiture    loyer:1800dt/mois    frais de visite:20dt,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823959
638,2018-07-16T13:35:19,Tunisie-annonce TN,2790324,L,Duplex haut standing indépendant,"Tunisie,Sousse,Sousse Jaouhara,Sahloul",140,m²,,,1100.0,"à louer un duplex haut standing sans meuble qui se compose d'un grand salon,une cuisine équipée et une salle d'eau.au premier étage, quatre chambres,une salle de bain,des dressings, chauffage central,des balcons,un jardin,un abri de voiture/29534610",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2790324
652,2018-07-16T13:34:41,Tunisie-annonce TN,2792419,L,Maison a 1er étage,"Tunisie,Ben arous,El Mourouj,El Mourouj",250,m²,,,350.0,à louer maison a 1er étage s+2 avec douche cuisine manchar tout neuf  pour plus d'infos contactez 96812139,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2792419
663,2018-07-16T13:34:16,Tunisie-annonce TN,2831454,L,Grande villa pour famille dans une zone calme,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz",500,m²,,,500.0,"grande villa située dans une zone calme composée de 2 chambres , un salon , une salle de séjour ,  une douche ; un terrasse et un jardin à 1 km et demi à la plage et à kélibia . pour plus d'infos merci de nous contacter ; 90 472 444",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831454
665,2018-07-16T13:34:09,Tunisie-annonce TN,2817339,L,Maison à hammam ghezaz,"Tunisie,Nabeul,Hammam El Ghezaz,Hammam El Ghezaz",,m²,,,700.0,belle villa pour vos vacances à hammam el ghezaz .5 mn de la plage .  1 salon +2 chambres +1 cuisine  + salle d'eau +douche + b.terrasse.  plus d'info appelez : 50797929,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2817339
668,2018-07-16T13:34:06,Tunisie-annonce TN,2828085,L,Surface commercial,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",28,m²,,,550.0,à ceux qui sont à la recherche d'une surfaces commercial à louer contacter nous sur 92777723,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828085
677,2018-07-16T13:33:47,Tunisie-annonce TN,2803589,L,Bungalow climatisé à la plage d'el haouaria,"Tunisie,Nabeul,El Haouaria,Cite Touristique",180,m²,,,700.0,"pour vos vacances, je vous propose un bungalow climatisé et bien meublé. il se compose d’une chambre parentale et un vaste salon ouvrant sur une cuisine bien équipée. le bungalow se trouve 5 minutes à pied de la plage sableuse sud d'elhaouaria ( chat elguebli) et sur la route principale. le bungalow s’ouvre sur un jardin gazonné de surface 100m2. le prix est de 120 dt /nuité et 700dt/ semaine. pour plus de détails ou pour réserver, veuillez contacter 23 315 157 ou 97 611 006.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2803589
678,2018-07-16T13:33:42,Tunisie-annonce TN,2818150,L,Studio meublé  proche de la gare taher sfar,"Tunisie,Ben arous,Hammam Lif,Cite Boussouffara",34,m²,,,270.0,"un studio meublé  composé   d'un salon, chambres à coucher,cuisine,salle d'eau ,proche de la gare taher sfar    visite payante : 20 dt(avant de commencer la visite)+2 visite gratuit   +commission 130dt fix svp svp que les sérieux curieux courtier sabstenir",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2818150
711,2018-07-16T13:32:32,Tunisie-annonce TN,2809387,L,Ref l037 spacieux étage d'une maison,"Tunisie,Bizerte,Bizerte Nord,Bizerte",,m²,,,500.0,"ref : l037  immobilière ben hamouda met en location un spacieux étage d'une maison, située à la corniche bizerte et avec une entrée indépendante.  la maison comprend un grand salon+ 4 chambres à coucher+ une cuisine+ une salle de bain+ un terrasse.   prix: 500dt/mois    contactez agence immobilière ben hamouda pour toute information complémentaire sur le 72419202/55977997",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2809387
720,2018-07-16T13:32:04,Tunisie-annonce TN,2814757,L,Etage villa,"Tunisie,Sfax,Sakiet Ezzit,Merkez Chihya",200,m²,,,600.0,"avenue bouzayen  , a coté du mosquée ferouk    contient :  - 3 grandes chambres   -salle d'eau  -cuisine  -salon  -séjour  superficie 200m carré     prix discutable",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2814757
722,2018-07-16T13:31:58,Tunisie-annonce TN,2799768,L,Villa a el manzah 7 wb853,"Tunisie,Ariana,Ariana Ville,El Menzah 7",350,m²,,,2500.0,"a louer pour 2500 dt a el manzah 7 une grande villa rénovée (600m terrain) bati 350m sur 2 niveaux avec au rez de chaussée ssm et sejour , cuisine et salle d'eau et au premier une suite , 2 autres chambres et salle de bain , chauffage central , climatisation , alarme ,placards , avec garage (5 voitures ) , jardin , terrasse (wb853)",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2799768
728,2018-07-16T13:31:43,Tunisie-annonce TN,2831461,L,Studio entrée indépendante,"Tunisie,Ariana,La Soukra,Borj Louzir",70,m²,,,300.0,studio spacieux avec un petit jardin  installation gaz de ville  chauffe-eau  appelez moi pour plus d'information  96 557 117,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831461
740,2018-07-16T13:31:12,Tunisie-annonce TN,2822505,L,Dar sayéfi à plage kélibia,"Tunisie,Nabeul,Kelibia,Kelibia",200,m²,,,500.0,maison bien équipé à la plage ou au centre ville    si tu es intéressé il y a plusieurs offres    selon le jour et leurs nombres    s+1    s+2    s+3    climatisé    bien venue à kélibia la 4 éme plage mondiale,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2822505
748,2018-07-16T13:30:51,Tunisie-annonce TN,2826399,L,Pour commerçant,"Tunisie,Tunis,Le Bardo,Ksar Said",35,m²,,,350.0,a louer un local commercial d'une surface de 35  m2 tout usage à ksar said 1  tel 22 683 134,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2826399
751,2018-07-16T13:30:42,Tunisie-annonce TN,2812956,L,Duplex s3 à ghammarth,"Tunisie,Tunis,La Marsa,Gammart",160,m²,,,1150.0,"à louer à gammarth forêt, charmant duplex s3 de 160m2 de bâti avec jardin, situé dans un lotissement entourant une belle écurie, composé au rez de chaussé d’un jardin, salon de 42m2, une cuisine américaine équipée et une salle d’eau, au premier, on trouve 3 chambres à coucher équipés de placard et une salle de bain commune, on trouvera à l’étage un escalier qui mène vers une terrasse de 80m2 qui offre une vue panoramique sur la forêt de gammarth et essentiellement sur l’écurie. loyer: 1250dt. pour plus d'informations veuillez contacter votre conseiller kaiss slama au 20 318 250",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2812956
769,2018-07-16T13:29:55,Tunisie-annonce TN,2746251,L,Magasin 50m2 au centre ville de tunis,"Tunisie,Tunis,Bab Bhar,Habib Thameur",50,m²,,,1700.0,a louer un local commercial en plein centre ville de tunis entre le passage et bab bhar a proximite de la station de metro hbib thameur parallele a rue d'athene.    loyer: 1700 dt net/mois (+15% retenue a la source)      tel: 28 502 802,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2746251
803,2018-07-16T13:28:52,Tunisie-annonce TN,2577312,L,Superbe local commercial de 42 m2 à sfax liberté,"Tunisie,Sfax,Sfax Ville,Cite De Le Liberte",45,m²,,,1500.0,"loue ce superbe  local commercial de 42 m2 et un plafond de 6 m ,situé sur une rue  très passante et perpendiculaire à l'avenue de la liberté (à 20m) ,ce local est situé à coté de l'agence de voyage traveltodo  et en face du siège de la banque biat , il fait le coin entre une rue piétonne et la rue taha houssaine.  les portes vitrées et protégées par un rideau métallique .  pour toute visite ,vous pouvez se rendre sur place et le voir ,il est loué actuellement au groupe bitaka qui part dès qu'un nouveau locataire est là,il n’a pas de rachat de fonds de commerce par contre le propriétaire demande 10 000 d de pas de porte.  les charges s'élèvent à 60 d .  pour tout renseignement supplémentaire vous pouvez appeler  monsieur jmal  le propriétaire en france au 0033388920054 ou mr youssef à sfax au 28577440.  curieux s'abstenir.merci",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2577312
836,2018-07-16T13:27:29,Tunisie-annonce TN,2820755,L,Villa meublé à kelibia,"Tunisie,Nabeul,Kelibia,Cite Riadh",180,m²,,,900.0,"villa meublée grande salon climatiséé, 2 chambres, salle d'eau,salle de bain, cuisine jardin  à louer pour les vacances d'été contacter 50552915 ou 94474498",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2820755
853,2018-07-16T13:27:01,Tunisie-annonce TN,2776160,L,Studio a ezzahra,"Tunisie,Ben arous,Ezzahra,Ezzahra",70,m²,,,330.0,"a louer a ezzahra un studio composé de s+1, cuisine, douche  et un petit terrasse avec entrée indépendante situé a ezzahra dans un cartier calme",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2776160
865,2018-07-16T13:26:28,Tunisie-annonce TN,1536086,L,Centre ville avec abri voiture,"Tunisie,Nabeul,Hammamet,Hammamet",150,m²,,,125.0,"propriétaire loue pour courte ou longue période, étage d'une villa neuf meublé dans une résidence calme de haut standing , en plein centre ville hammamet , à proximité des restaurants, hôtels, tous commerces. grand salon et salle à manger, 2 chambres à coucher, salle de bain et cuisine équipée, trois terrasses. toutes les pièces sont chauffées et climatisées, télévision,  récepteur et satellite individuel, internet wifi, machine à laver automatique (5kg), interphone, ....   abri voiture  -du 18/07/18 au 31/07/18: 125 dt/nuité  -du 01/08/18 au 31/08/18: 150 dt/nuité  700 dt/mois pour une période de 3 mois ou plus (hors juillet et août)  a l'année disponible le 10/09/2018: 900 dt/mois     idéal pour vos cours ou longue séjours en tunisie, vacances et vos voyages a la découverte de hammamet et de toute la tunisie.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=1536086
872,2018-07-16T13:26:13,Tunisie-annonce TN,2831529,L,Étage haut standing,"Tunisie,Manouba,Mannouba,La Mannouba",155,m²,,,850.0,"a louer un étage de villa,pour couple et/ou fonctionnaire très haut standing se compose d'un s+2,situé dans un cartier chic et classe ,proche de toute les commodités (steg,mosquée,telecom,métro)    contact:97 801 666",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831529
890,2018-07-16T13:25:33,Tunisie-annonce TN,2744587,L,Villa de maitre avec piscine,"Tunisie,Ariana,Ariana Ville,El Menzah 7",800,m²,,,9000.0,a louer une tres belle villa immense pour ambassadeur quartier calme et residentiel,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2744587
902,2018-07-16T13:25:08,Tunisie-annonce TN,2776834,L,Maison meublée tabarka,"Tunisie,Jendouba,Tabarka,Cite El Mourjene",110,m²,,,150.0,"a louer,    un rez de chaussée meublé d'une maison située à cité el mourjene tout près du centre de tabarka. il s'agit d'une maison composée d'un salon, de deux chambres à coucher, d'une cuisine, d'une salle de bain (baignoire), d'un garage (location à voir) et de deux petites terrasses, une à l'avant et une à l'arrière de la maison.   aussi, cette maison dispose de l'eau chaude et peut accueillir jusqu'à 7 personnes (voir les photos des canapés et de la literie déjà mise en place).  préférence pour les locations saisonnières, mais des locations longues durées sont envisageables du mois de septembre au mois de juin.   la maison se situe dans une rue calme avec un bon voisinage et à proximité de toutes les commodités: commerces divers, caserne de pompiers, poste de police, hôpital, mosquée, aéroport et à 5 minutes en voiture des plages et de la zone hôtelière.     le tarif de location est de 60 dinars/ nuit, dégressif selon le nombre de nuitées.   pour toute réservation ou pour tout autre renseignement, me contacter soit par mail (via le site), soit en appelant les numéros de téléphones mentionnés dans l'annonce.  en vous souhaitant la bienvenue à tabarka.    cordialement,",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2776834
904,2018-07-16T13:25:03,Tunisie-annonce TN,2827518,L,Villa avec piscine à gammarth supérieur 1041,"Tunisie,Tunis,La Marsa,Gammart",800,m²,,,4000.0,"l'affiche immo propose à la location une superbe villa avec piscine dans un quartier calme et résidentiel à gammarth supérieur. elle est composée, au rez-de-chaussée, d'un grand et lumineux salon salle à manger séjour, une cuisine équipée, une salle de bain et une salle d'eau invités. a l'étage on trouve quatre suites avec leurs salles de bain et leurs dressings. le sous-sol se compose de deux chambres à coucher, une salle de bain commune et une cuisine aménagée. un beau jardin bien entretenu, une belle piscine et un garage pour 3 voitures sont également à disposition.    pour plus d'informations veuillez contacter votre conseiller boubaker mlayah au +216 55 990 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2827518
907,2018-07-16T13:24:54,Tunisie-annonce TN,2827502,L,Superbe villa avec piscine à gammarth 0440,"Tunisie,Tunis,La Marsa,Gammart",750,m²,,,4200.0,"l'affiche immo propose à la location une superbe villa avec piscine sur la route touristique de gammarth. elle est composée, au rez-de-chaussée, d'un grand et lumineux salon salle à manger séjour, une suite invités, une cuisine équipée et une salle d'eau invités. a l'étage on trouve trois suites, un bureau et une grande terrasse. le sous-sol se compose d'un bar, une aire de jeux et une chambre de service. un beau jardin bien entretenu qui fait le tour de la villa, une belle piscine et un abri pour 3 voitures sont également à disposition.    pour plus d'informations veuillez contacter votre conseiller boubaker mlayah au +216 55 990 007",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2827502
915,2018-07-16T13:24:34,Tunisie-annonce TN,2823289,L,Studio meublé,"Tunisie,Ben arous,Bou Mhel El Bassatine,Bou Mhel",50,m²,,,750.0,agence immobilière bestimmo  met à votre disposition un studio meublé à boumhal el basatine .    n'hésitez pas à prendre contact pour de plus amples renseignements ou pour prendre rdv 29298380,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823289
929,2018-07-16T13:23:54,Tunisie-annonce TN,2765483,L,Local pour banque ou autre,"Tunisie,Tunis,Bab Bhar,Republique",110,m²,,,12000.0,"business immobilière propose à louer un surface de 110m double hauteur, en face central park à gean jaures.   local pour banque ou autre   prix 12000 dt/ mois   pour autre info et visite contacter nous 23532100  ou 98532100   commission d'agence 5 %du montant annuel",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2765483
948,2018-07-16T13:23:10,Tunisie-annonce TN,2831496,L,Duplex à mourouj 3,"Tunisie,Ben arous,El Mourouj,El Mourouj",120,m²,,,650.0,"dans une résidence propre et calme en face de l'école khaier edin becha mourouj 3 (proche de mosquée haramyen et à 100 m du métro) ,duplex composé :   1 ère étage : 2 chambres (une avec balcon ) + salle de bain   rez de chaussé : une grande chambre + salon +cuisine + salle d'eau .   chauffage central + gaz de ville.  disponible pour jeune couple ou petite famille .  contactez 98 955 963",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831496
952,2018-07-16T13:23:03,Tunisie-annonce TN,2808136,L,Etage de villa rte de teniour km6,"Tunisie,Sfax,Sakiet Ezzit,Merkez Chihya",145,m²,,,500.0,etage de villa rte teniour km 6 zanket elkoucha (elfki) :  + 3 chambres à coucher  + grande halle  + belle salon  + salle à manger  + cuisine vaste bien équipée  + salle de bain  + toilette indépendante  +menuiserie aluminium+staf  + terrasse indépendante pour garder une voiture  + majel avec moteur au rez-de-chaussée.  - zone calme et près de toutes commodités  - tel 24810992,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2808136
953,2018-07-16T13:22:59,Tunisie-annonce TN,2831557,L,Villa style americain,"Tunisie,Tunis,Ain Zaghouan,Ain Zaghouan",350,m²,,,2250.0,"a louer villa style americain,ht.standing.3 minutes de carrefour. tout pres de jardin de carthage . grand gararge pour 3 voitures + grand jardin et veranda  .rez de chausse compose de grand sallon et salle a manger +sejour +cuisine et salle d'eau. 1er etage : suite parent.avec dressing et salle de bain et un  balcon ,+3 chambres et une autre  salle de bains et et un autre balcon .placards dans tout les chambres et dans la cuisine.chauffage central. gaz de ville. quartier  residentiel 2250 dt par mois .a discuter,contacter:97054596- 52077405",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831557
960,2018-07-16T13:22:39,Tunisie-annonce TN,2796438,L,Une magnifique villa à el menzah,"Tunisie,Tunis,El Menzah,El Menzah 1",1,m²,,,4800.0,"a louer une magnifique villa sur deux niveaux de très haut standing , située dans un quartier sécurisé à el menzah. comprend un lumineux salon, salle a manger donnant sur une belle piscine et un grand jardin arboré , une grande cuisine bien équipée et une salle d eau invité, l'étage comprend quatre chambres à coucher dont une suite parentale, deux salles de bains.  la villa est équipée de chauffage, des climatiseurs en split , et un grand garage  loyer : 4800 dinars  tél : 20 945 585",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2796438
962,2018-07-16T13:22:35,Tunisie-annonce TN,2723599,L,Spacieux locale,"Tunisie,Bizerte,Bizerte Nord,Bizerte",80,m²,,,600.0,"l'immobilière saiek & belhouane met en location:  un garage à cité el waha .  superficie : 80 m².  hauteur : 4 mètre.  à 600 dt .  idéale pour dépôt, stockage. extr.  à contacter: 70 001 109/ 52 816 833/ 22 50 99 66/ 31 51 99 66.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2723599
970,2018-07-16T13:22:20,Tunisie-annonce TN,2825948,L,Villa haut standing,"Tunisie,Sfax,Sfax Sud,Sidi Abbes",650,m²,,,1000.0,"a louer une villa située à route gremda km 4 devant lycee habib thameur composée de 2 étages qui contienent:   le rez chaussé : séjour et sallon-salle a manger tres vaste, une cuisine équipée avec séchoir, provision - salle d'eau avec en plus une véranda avec parking pour 2 voiture (abris).   au 1er étage : 4 chambres à coucher dont une avec placard et un terrasse,une salle de bain , une kitchenette et un séjour avec petite terrasse .   il existe encore une fest9ia avec moteur (majel) et un jardin   pour plus d'informations, veuillez contacter le numero 23322118",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2825948
973,2018-07-16T13:22:13,Tunisie-annonce TN,2677583,L,Appartement à usage commercial,"Tunisie,Bizerte,Bizerte Nord,Bizerte",350,m²,,,2500.0,"l'immobilière saiek & belhouane met en location:  un spacieux appartement sur la route principale de la corniche bizerte:  superficie 350 m² .   idéale pour salle de sport, centre d’appel société ex.  à 2500 dt le mois.  à contacter: 70001109/22 50 99 66/ 52 81 68 33/ 31 51 99 66.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2677583
1043,2018-07-16T13:17:41,Tunisie-annonce TN,2579275,L,Villa pour societé jardin d'enfant ou école,"Tunisie,Tunis,El Menzah,El Menzah 9",,m²,,,4000.0,une grande villa sur 3 niveaux sis dans un trés bon emplacement  à menzah9 pour société ou jardin d'enfant ou école pour plus d'info cntactez agence dari immo  tel 70813825 /52145909,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2579275
1047,2018-07-16T13:17:19,Tunisie-annonce TN,2815376,L,Maison meuble,"Tunisie,Ben arous,El Mourouj,El Mourouj",80,m²,,,1200.0,maison meuble a mourouj   9ribe  lirminise mitro  b7athehe kol chay,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2815376
1052,2018-07-16T13:16:52,Tunisie-annonce TN,2597254,L,100m et parking,"Tunisie,Ben arous,Bou Mhel El Bassatine,Cite El Mahrajene 2",100,m²,,,500.0,à louer usage dépôt100m2et parking pour camion   prix  500 négociable pour sérieux paiement par trimestre (3 mois 1300d,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2597254
1060,2018-07-16T13:16:32,Tunisie-annonce TN,2774699,L,Maison équipé près de l'enig zrig rue 9 avril,"Tunisie,Gabes,Gabes Sud,Zrig",140,m²,,,370.0,"maison équipé rez de chaussée 3 chambres,sallon,salle d'eau,cuisine avec terrasse,garage bien équipés,près des grand surface commerciale.",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2774699
1067,2018-07-16T13:16:13,Tunisie-annonce TN,2831615,L,Deux depot,"Tunisie,Sfax,Sfax Ville,Sfax",130,m²,,,600.0,a louer deux depot taniour k 3  surface : 70m + 65m  hauteur : 4m  bien équipé,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831615
1070,2018-07-16T13:16:08,Tunisie-annonce TN,2823024,L,Superficie pour projet,"Tunisie,Ariana,Sidi Thabet,Sidi Thabet",6418,m²,,,500.0,"location d'une superficie de 6418 m2 pour projet , sur la route principale  de sidi thabet..avec possibilité de créer un contrat de location pour 5 ans et même plus , toutes les détails et les clauses sont négociables , prix négociable dans la limite du raisonnable.  gsm : 27456289",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2823024
1075,2018-07-16T13:15:53,Tunisie-annonce TN,2831603,L,Local depot,"Tunisie,Ariana,La Soukra,Borj Louzir",50,m²,,,400.0,a louer depot ou autre,http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2831603
1080,2018-07-16T13:15:27,Tunisie-annonce TN,2828560,L,Villa  proche de l ecole francaise,"Tunisie,Tunis,La Marsa,Marsa Safsaf",280,m²,,,4500.0,"villa sur deux niveaux avec jardin, salon, salle a manger, cinq chambre a coucher, deux salle de bain, plus une salle d'eau, cuisine, dependence, garage",http://www.tunisie-annonce.com/DetailsAnnonceImmobilier.asp?cod_ann=2828560
